AMZN,GE,GOOG,JPM,LIN,LLY,MSFT,NEE,PLD,WMT,XOM
892227566270.9431,125172018024.40105,694928693768.1221,64027998461.191345,180192360572.1748,214099541688.09705,4995901652977.558,47865629061.25937,,77673287723.36127,63864658999.37716
889223530780.8381,124801298434.58795,691971410209.7692,64338445258.889015,182811587888.03308,215028705237.08826,4969925826619.022,47935358102.93568,,75910060066.94757,64109560956.68839
887765302543.1805,123936350007.44456,681515430833.3962,64204526926.03965,183992457935.145,215133876393.38904,5074750347654.56,48172900607.07482,,75537655308.98631,63529929146.34384
894409429711.0316,125666277153.40422,689840484324.0988,63918410171.87736,186246724947.4281,217377758841.45807,5147108524500.73,48578305531.32399,,75659259668.99849,64019765178.20277
895198811910.2385,133698033437.21494,689237850880.7992,64588028965.96754,187448972231.7554,217184937832.60498,5175865842033.461,48513752648.16364,,75332452396.93613,64085071563.88818
897062647256.5065,136989839625.27318,692797720483.2504,64094944062.694336,186686843490.99686,218552307310.54785,5211580605078.764,48604128464.86621,,75005654608.54387,64215684335.25901
899633639232.2218,139817001843.17126,693369307449.8029,64015806309.580284,187320193051.49188,220322926777.56494,5202767345085.894,48559933061.54421,,74564853621.73427,64876962175.33765
898942961175.7577,133520100150.7738,695773584528.4503,63528809343.15961,185967558148.28482,221392231867.33768,5196274224951.1045,48796478609.95887,,75233661005.37856,64517763002.7769
916430323956.9606,131978011668.28394,708863774508.2029,63571408623.22121,180750569677.39938,225862518793.537,5219464842558.359,48754895764.718445,,74428032713.02724,65309625511.64446
929828156620.623,133391612971.68156,713094627201.9979,63425341546.51018,181094046035.4203,223443293306.55362,5206943671181.9795,48931659575.22565,,74367261354.94902,65562705320.28914
927777870821.6655,127094701182.0598,721935336601.9072,63376616347.815346,180814950375.1696,225248969825.67096,5180967473065.736,48952462124.583855,,74739647145.57005,65464747749.088295
